name	component	tier	agent_liveness	purpose	evidence
KeeperDriftCheck	keeper	live	live	Prices every 2027 keeper candidate on the ADP curve as-is and shifted by the measured QB market gap (~12 picks), printing how much a QB keeper's surplus shrinks.	RUNBOOK.md:129 under 'Once a week, or when something looks wrong': './gradlew run -Pmain=KeeperDriftCheck # QB keeper values, priced on THIS league's board', and :135 'KeeperDriftCheck says by how much'. No code callers.
KeeperEligibility	keeper	archive	diagnostic	Lists who is keeping whom, how many consecutive years each has been kept, and how many years remain under the three-year cap.	README.md:40 only ('who is keeping whom, and for how long'). Not in RUNBOOK; no code callers. The consecutive-year cap now lives in NextYearKeepers (today's fix), which LeagueConsole/TradeMarket/KeeperDriftCheck read instead.
KeeperLedger	keeper	archive	stray	Every team's standalone keeper values from the full nine-round expectimax at reduced rollouts (search/evaluate split).	No root-doc reference by name (DIAGNOSTIC.md:377 says only 'the 10k ledger'). Code mentions in DraftPlanner.java:512, LeagueOutlook.java:42 and Keepers16.java:21 are comments; Keepers16's javadoc supersedes it: 'The keeper tools of August (KeeperPlan, KeeperLedger) valued a keeper on Model A's nine-round game'.
KeeperOrigin	keeper	diagnostic	diagnostic	For every declared keeper, did the keeping manager also draft him? Yields captureRate (0.88) that discounts StashValue's keeper term.	RUNBOOK.md:409 quotes the result ('KeeperOrigin shows Tuten was drafted by Hamrliks and acquired by trade - one of only three keepers in twenty-four'). Only code caller is StashValue.java:44/116 (captureRate), whose only consumer is the superseded LateWaitOrTake.
KeeperPlan	keeper	archive	diagnostic	V(keeper) - V(none) for every eligible keeper, each branch a DraftPlanner-optimised nine-round plan (Model A).	README.md:33-34; MODEL.md:181-206 ('C results ... KeeperPlan runs V(K) - V(none)'), :523/546. Not in RUNBOOK. Code refs (SelectionModel.java:211, ProjectionSources.java:17, Keepers16.java:21, LeagueOutlook.java:22) are comments. Keepers16 javadoc names it an August tool it replaces.
KeeperValuation	keeper	archive	diagnostic	Values a keeper against the nine skill starting slots: any keeper really costs the round-nine pick; defences never candidates.	README.md:39/69; MODEL.md:44 row D ('KeeperValuation v2 = V(K) - V(none)'). Not in RUNBOOK. Only code mention is Keepers16.java:25 (comment, '(KeeperValuation's stated rule)') which supersedes it with the sixteen-round objective.
KeeperWhy	keeper	archive	diagnostic	Decomposes one keeper's V(K)-V(none) by lineup slot group from any owner's seat, showing who mans QB in each branch.	MODEL.md:293-295 ('### KeeperWhy - keeper values, explained by slot (2026-08-25)'). Not in RUNBOOK; no code callers.
Keepers16	keeper	seasonal	diagnostic	Every owner's keeper candidates and best pair valued on the sixteen-round WeeklyStarterValue objective (injuries, defences, bench), report-only, writes data/keepers16-<date>.txt/.html.	DIAGNOSTIC.md:375 ('Keepers16 (2026-09-04, report-only; data/keepers16-<date>.txt + .html) is the keeper ...'), README.md:47/57. Not in RUNBOOK. Callers OwnerLadder.java and ObjectiveStability.java are themselves off the loop.
QbMarketGap	keeper	diagnostic	diagnostic	Keeper-adjusted surplus and drone-gap statistics measuring how far this league lets QBs fall relative to Sleeper ADP, per season.	RUNBOOK.md:137 ('Once a week' section) cites its measurement as the reason QB keeper surplus is overstated; MODEL.md:1079/1088/1139. KeeperDriftCheck.java:22,89 mention it in javadoc and output text only, no call.
WhoIsKept	keeper	archive	stray	Lists every keeper declared in the league, not just mine.	Javadoc: '/** Every keeper declared in this league, not just mine. */'. No reference in any root doc; no callers. Commit 5b39376 2026-08-31 'twenty-four men are already kept'.
DraftExpectation	league	seasonal	live	What each seat should have expected from its slot and keepers (room model drafts every seat from the pre-draft fixture) versus the roster actually drafted; writes data/draft-expectation-[date].txt/.html.	README.md:45 command line; DIAGNOSTIC.md:343,500. Not in RUNBOOK by name, but its static helpers are on the in-season path: StartSit.java:200 "playable.add(DraftExpectation.man(...))", SeasonLedger.java:205,286, OwnerLadder.java:126-386. Test: DraftExpectationTest.
LeagueOutlook	league	seasonal	diagnostic	Every manager's seat optimised by the expectimax from their slot with their keepers: ranking, slot-group breakdown, keeperless seat value and per-keeper deltas.	MODEL.md:628 ('### LeagueOutlook (2026-08-25, late): every seat optimized'), :631/742; README.md:31. Not in RUNBOOK (SeasonOutlook is the in-season tool at RUNBOOK.md:109). Code refs in PlayoffOdds.java:216 and DraftPlanner.java:513 are comments; RiskDial.java:54 only tells the user to run it first.
LeagueRules	league	archive	stray	Prints the league's roster_positions from Sleeper with which slots must be filled to score (written to refute a 'drop the TE scores +11' claim).	No reference in any root doc. The only code mention is a comment in RosterRules.java:27 ('LeagueRules.java reads it - QB RB RB WR WR WR TE FLEX FLEX DEF + 6 BN'); nothing calls it.
ManagerFeedTable	league	archive	stray	Per-manager mean log2 rank of their picks on each candidate feed, to guess which sheet each manager reads.	No reference in any root doc and no code callers (grep -w ManagerFeedTable over the nine root docs and src/main/java finds only the class itself).
ManagerProfiles	league	diagnostic	diagnostic	League positional bias vs ADP plus per-manager shrunk offsets, fitted through a season cutoff for leakage-free backtests.	MODEL.md:41 row A ('ManagerProfiles - per-manager positional timing fitted from 2021-25 with shrinkage'). Not in RUNBOOK. Callers DraftSimulator.java:1092 (fitThroughSeason), DraftBacktest, KeeperLedger, KeeperValuation, WaitOrTake, SlotValue are all August/research tools; the live tools fit BoostedSelectionModel.fitShipped instead (LiveLateRounds.java, LateSurvival.java).
OwnerLadder	league	seasonal	diagnostic	Every owner's four-rung ladder (seat alone, keepers as declared, best ledger pair, roster drafted) on the DraftExpectation yardstick, 200 sims per rung; report-only.	README.md:46 run line; DIAGNOSTIC.md:357,379 quote it; build.gradle:175-179. Called by Keepers16.java:255,274,291 (OwnerLadder.rungTrials), and Keepers16 is README-only (README.md:47), not in RUNBOOK.
PlayoffOdds	league	archive	stray	Bootstraps P(top six) as a function of a team's points deviation from the season league mean, from the league chain's completed team-seasons; measures the points-to-qualification conversion.	No root doc names PlayoffOdds; only caller RiskDial.java:57,65 (PlayoffOdds.history / inSeasonNoise), and RiskDial is itself in no doc. Archived outputs data/playoff-odds-*2026-08-29.txt. Not used by SeasonOutlook.
SeasonLedger	league	live	live	Appends each finished week (points by starters and bench, standings) and judges the bench question against a bar frozen with -Panchor before week 1.	RUNBOOK.md:101 under '## After the games': `./gradlew run -Pmain=SeasonLedger`; README.md:55; DIAGNOSTIC.md:489,495.
SeasonOutlook	league	live	live	Plays out the remaining real schedule from the measured 24.9 weekly spread to give playoff odds, the trigger for the buy/sell-for-keepers rule from week 7.	RUNBOOK.md:109 under '## From week 7 — am I still in it': `./gradlew run -Pmain=SeasonOutlook`.
TeamRankings	league	live	live	Every roster's best legal lineup (QB,2RB,3WR,TE,DEF,2FLEX exactly as BoardValue.lineup) scored on league projections and ranked; HTML in data/.	README.md:44. Called by LeagueConsole.java:166-175 (TeamRankings.Man, TeamRankings.bestLineup), StartSit, TradeMarket, SeasonOutlook (RUNBOOK.md:109), SeasonLedger, OwnerLadder. DIAGNOSTIC.md:324 'report-only'.
TradePartners	league	live	live	Who actually trades: per-manager completed-trade rates and pair counts from the league log, joined on roster_id per season.	RUNBOOK.md:131 (section 'Once a week, or when something looks wrong') './gradlew run -Pmain=TradePartners # who actually trades, from the log'. Called by LeagueConsole.java:585 'TradePartners.records(configuration.getLeagueID())' and SeasonOutlook.
GivenTradeAnalyzer	trade	archive	stray	Finds one --give/--take trade inside the tier .txt files TradeFinder writes.	No root .md names it, no caller, no test. It still runs (TradeFinder.java:352 "writeTier(fileStringStart + \"t\" + tier + fileString + \".txt\"...)" matches GivenTradeAnalyzer.java:70), but the in-season trade step is TradeMarket/LeagueConsole (RUNBOOK.md:60 'Tuesday — the trades', README.md:51).
TradeFinder	trade	archive	live	Enumerates single/double/triple swaps with every rival on projected starters, files them by how much they help the other side into tier files t0-t10.	build.gradle:115 "mainClass = project.findProperty('main') ?: 'TradeFinder'" (build default). README.md:37 'trades worth proposing'. TRAPS.md:814 says the in-season board 'which is genuinely different, is now `TradeMarket`'; TradeMarket.java javadoc links it. Not named in RUNBOOK.
TradeFinderThreeTeams	trade	archive	stray	Three-team trade permutation search over ScoredRoster (permutations of a-f built in a static block), no javadoc.	No reference in any root doc; no callers in src/main/java. Last commit 4379b86 2026-08-24 'Remove leftover debugging scaffolding'.
TradeMarket	trade	live	live	Every size-balanced swap with all eleven rivals priced on WeeklyStarterValue, shown only where both sides gain, with supply behind each piece and two-trade chains.	README.md:51 'IN SEASON'. Called by LeagueConsole.java:78-81,234 (TradeMarket.Step, TradeMarket.DEFAULT_POOL), TuesdaySwap, TradeStability, TradePartners, KeeperDriftCheck. RUNBOOK 'Tuesday - the trades' is the console tab it fills. TRAPS.md:1451,1527.
TradeStability	trade	live	live	Re-values the board's top trades under several seeds and reports the spread, so a recommended margin can be compared with the yardstick's own wobble.	RUNBOOK.md:132 './gradlew run -Pmain=TradeStability # are the board's numbers bigger than its noise'. LeagueConsole.java:629 cites its measured spread; NextYearKeepers references it. TRAPS.md:1224,1494.
DefenceThisWeek	weekly	live	live	Which defence to start this week by reproducing the streaming policy WireRateStress measured (free defence by preseason ADP through the lag, then best points-per-game over finished weeks).	README.md:54 "./gradlew run -Pmain=DefenceThisWeek # IN SEASON: which defence to start"; TRAPS.md:1029 "place to act on it is `DefenceThisWeek`, weekly". NOT named in RUNBOOK.md's in-season loop (grep finds no hit) and no caller in src/main/java — a sibling gap: the Sunday lineup section (RUNBOOK.md:25-43) never says to run it. Test: src/test/java/DefenceThisWeekTest.java.
FaabBid	weekly	live	live	What to bid from this league's own settled waiver contests (including failed claims): P(win|bid) times worth minus bid under a range of shadow dollar prices; -Pfit harvests the curve.	README.md:53 "./gradlew run -Pmain=FaabBid # IN SEASON: what to bid"; FAAB-PLAN.md:4,51,107. Called by the console: LeagueConsole.java:218 "int bid = FaabBid.bestBid(band, value, dollarCosts[c], budget);", LeagueConsole.java:365 "FaabBid.newestCurve()"; also TuesdaySwap, WireSurvival. Tests: FaabBidTest, FaabTieTest, LeagueConsoleTest.
InSeasonLearning	weekly	diagnostic	diagnostic	Tests whether a conjugate-normal in-season update of the preseason ranking beats preseason at pick level and at season level, on thirteen backtest seasons.	RESEARCH-PLAN.md:96-99 ('Everything below comes from InSeasonLearning ... ./gradlew run -Pmain=InSeasonLearning -q'), RESEARCH-PLAN.md:177/294, MODEL.md:5208 ('Independent confirmation, from a different method'). No code callers; not in RUNBOOK.
LateRoundTargets	weekly	archive	stray	Ranked 2027-keeper-option stash list: projected value minus round-R pick return, times measured hit rate, restricted to players surviving the nine-round simulation.	Superseded by a named replacement: DRAFT-READY.md:373 '7. The screen sent him to a tool that stops at pick 108. LateRoundTargets ...' and :375 'on-screen instructions now name LiveLateRounds'; RUNBOOK.md:377 'LateSurvival runs the board to round 16 (the old tool stopped at round 9 and so called everything safe)'; DraftNight.java:258 prints '(NOT LateRoundTargets - it never sets scheduleRounds=16'. No code caller invokes it (DraftPlanner.java:133 and LateSurvival javadoc are comments).
LeagueConsole	weekly	live	live	The weekly HTML page: lineup, defence, wire, precomputed FAAB bids and TradeMarket swaps shipped as data; the page computes nothing.	RUNBOOK.md:10 under 'Regenerate BOTH' at the top of the in-season loop: './gradlew run -Pmain=LeagueConsole'; README.md:50 'IN SEASON: one HTML page for the week'. TRAPS.md:996/1044/1446/1527.
LineupPromotion	weekly	diagnostic	live	Replays five seasons of real rosters under PRESEASON / FORM / ACTUAL / PERFECT lineup rules to value the bust-boom promotion channel; also exposes week() which parses /matchups/{week} into RosterWeek rows.	Main is a measurement (MODEL.md:5018 './gradlew run -Pmain=LineupPromotion what the channel is worth', :5106, :5226) but LineupPromotion.week() is called by SeasonLedger.java:184, and SeasonLedger is in RUNBOOK.md:101 ('After the games'). Live via that helper only.
ObjectiveStability	weekly	diagnostic	diagnostic	Builds WeeklyStarterValue under several seeds and prints per-man marginals and the worst seed-to-seed spread - the 6.8-point noise floor under Keepers16/console values.	README.md:57 run line; TRAPS.md:955,1230,1275; DIAGNOSTIC.md:398; build.gradle:186,220. LeagueConsole.java:47,408, TuesdaySwap.java:42,282, TradeMarket.java:1226 cite its floor in comments/strings only - no ObjectiveStability. call in src (grep). Not in RUNBOOK.
OutcomeDistributions	weekly	diagnostic	live	Per-player week-by-week season outcome cells (availability and scoring separated), leave-one-out pool keyed by rank; the sampling substrate of WeeklyStarterValue.	WeeklyStarterValue.java uses OutcomeDistributions 19 times (the weekly-starter objective behind LeagueConsole/TuesdaySwap/TradeMarket); RiskDiscountedValue.java:323 'OutcomeDistributions.all()'. MODEL.md:4306, TRAPS.md:609, build.gradle:191. Its own main() is the Phase-1 report.
ProjectionDrift	weekly	live	live	Compares archived daily season-projection snapshots to report whether the feed still moves once games are played (raw counts and biggest movers, no verdict).	RUNBOOK.md:130 under 'Once a week, or when something looks wrong': './gradlew run -Pmain=ProjectionDrift'; RUNBOOK.md:144 'Run `ProjectionDrift` once real games are played.'
PromotionBehaviour	weekly	diagnostic	diagnostic	Reads five seasons of the league transaction log to measure how fast real managers promote bench boomers / drop busts, as the observation behind WeeklyStarterValue's promotion channel.	MODEL.md:5017 bust-and-boom section lists `./gradlew run -Pmain=PromotionBehaviour what the twelve humans really did`; only code reference is a javadoc mention in LineupPromotion.java:21 (no call). Not in RUNBOOK.
StartSit	weekly	live	live	The best legal ten from league-scored week projections, with the measured coin-flip band (-Pcalibrate writes data/start-sit-flip-<date>.txt) and byes/absent men kept apart from low projections.	README.md:48 'IN SEASON: the lineup to set this week'. Called by LeagueConsole.java:108,165,257 (StartSit.Man, StartSit.Flip) which builds the console page RUNBOOK 'Sunday, ninety minutes before kickoff' reads. TRAPS #91 and TRAPS.md:1289.
TuesdaySwap	weekly	live	live	Tuesday waiver search over (add, drop) pairs on WeeklyStarterValue with DO NOTHING as default; prints the data stamp and the claim FaabBid prices.	RUNBOOK.md:9 './gradlew run -Pmain=TuesdaySwap' under 'Regenerate BOTH'. README.md:49. LeagueConsole.java:45 'the same {@link TuesdaySwap#search} the terminal tool runs'; FaabBid.java:253, DataStamp.java:17. TRAPS.md:963,1021.
WireRateStress	weekly	diagnostic	live	Measures what a hindsight-free defence streaming policy actually yields versus wireRates' top-quartile-of-realised number; defines the policy DefenceThisWeek runs.	README.md:54 'DefenceThisWeek # IN SEASON: which defence to start, running the policy WireRateStress actually measured'. DefenceThisWeek.java:23,60,163 ('departure from {@link WireRateStress#form}'); called by WeeklyStarterValue, PlanBacktest, Keepers16. DIAGNOSTIC.md:403, MODEL.md:4954, TRAPS #81.
WireSurvival	weekly	diagnostic	stray	Hazard of a dropped man being claimed as a function of days sat unclaimed, from drop/add timestamps, to test the conditional-probability argument FaabBid cannot make.	No reference in any root doc (FAAB-PLAN.md included) by name; no callers in src/main/java. Added 81e616c 2026-09-08 for Justin's 2026-09-07 $0 claim question. Newest tool; likely wants a FAAB-PLAN/RUNBOOK mention or a FaabBid hook rather than deletion.
